报告日期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),2915,6732,5071,5871,5559,11505,10665,7019,8772,10482,10567,25514,1953,4163,3633,2288,1914,548,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),16482,16576,15000,15084,15081,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1726,1955,1612,1614,1572,359,2377,817,973,1029,853,467,874,759,954,1185,1478,892,
应收账款(万元),18994,18476,20169,20741,19595,19839,20722,18753,17158,16229,16192,15762,14180,12825,12482,11726,6992,4991,
预付款项(万元),1560,864,1224,1527,1561,2222,3281,2701,857,1337,1805,646,1827,2349,1480,2365,2243,2282,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,364,--,387,--,350,382,422,431,417,465,438,417,417,139,26,35,267,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),3289,2656,4364,5476,4453,3402,5214,4931,5458,3827,5904,5076,4227,3876,3260,4148,5175,5511,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),155,25,9,102,47,15001,10000,15003,15000,15000,10055,4,25,13,8,12,244,769,
流动资产合计(万元),45572,47647,47819,50801,48285,52679,52641,49646,48648,48321,45842,47907,23502,24403,21956,21750,18081,15259,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,10754,--,10184,--,10171,--,10148,--,9791,--,9668,9643,9599,9270,8849,--,--,
累计折旧(万元),--,5226,--,5089,--,4758,--,4377,--,4089,--,3690,3495,3300,2404,1474,--,--,
固定资产净值(万元),--,5528,--,5095,--,5412,--,5771,--,5702,--,5978,6148,6299,6866,7375,--,--,
固定资产减值准备(万元),--,149,--,149,--,149,--,82,--,82,--,82,82,82,114,82,--,--,
