报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,
货币资金(万元),59175,25849,40301,6638,13180,13887,8248,6988,2811,4533,5083,5220,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,78949,89237,93191,75734,79562,47570,47594,27775,31833,30169,12328,
应收账款(万元),--,77754,80453,85390,82483,56048,90287,34277,54037,34121,21922,13328,
预付款项(万元),632,1744,1260,1765,1070,515,803,795,796,1093,1196,272,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,475,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,--,586,314,419,747,491,906,668,440,704,1289,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),34203,39175,33591,34328,28380,21099,19530,21851,18833,15927,11631,5392,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),30626,54458,31871,339,931,1324,1186,1117,492,463,657,2067,
流动资产合计(万元),275986,279259,277300,221965,202197,173183,168116,113528,105412,88410,71362,39896,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1500,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1275,1906,1849,1731,1683,1693,1610,1090,944,539,559,881,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),86721,--,75612,--,67001,--,57351,--,36356,--,--,--,
累计折旧(万元),22286,--,18973,--,16797,--,12755,--,9122,--,--,--,
固定资产净值(万元),64435,--,56640,--,50204,--,44596,--,27234,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),64435,56704,56640,51661,50204,46387,44596,35345,27234,21471,17849,7537,
在建工程(万元),--,9252,8727,11907,12874,2719,2464,1057,1370,2069,1533,3888,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),5569,4669,4702,4343,4392,4203,4244,4306,4334,4380,4413,3026,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),4,5,11,338,7,--,2,4,7,9,11,27,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),3575,2416,2362,2297,2345,2183,2392,2023,1323,1064,867,562,
其他非流动资产(万元),1687,3043,3468,1151,2533,4433,1186,1520,2416,2750,3010,2638,
非流动资产合计(万元),83174,77995,77760,73430,74038,61618,56495,45344,37627,32282,28242,18558,
资产总计(万元),359160,357253,355060,295395,276235,234801,224610,158872,143039,120691,99604,58454,
短期借款(万元),22700,21076,20984,22137,18577,10880,5226,4491,3494,2500,4500,2563,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,51762,47062,34312,47842,32030,21014,23934,17969,17773,11085,
应付账款(万元),--,--,58280,63729,72725,44260,76564,48460,48555,49742,34241,14792,
预收账款(万元),351,490,101,84,76,194,47,70,87,218,327,36,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),5134,4502,3914,3616,4251,3146,3470,2348,2501,1233,1936,790,
应交税费(万元),3368,2011,1378,2998,3556,1568,3949,1974,4914,2655,2417,522,
应付利息(万元),--,28,25,42,57,39,16,1,5,1,52,--,
应付股利(万元),--,--,--,--,--,--,--,0,1857,2127,2800,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,--,401,48,602,553,1748,306,508,326,356,218,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),1641,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),130501,130044,136846,139717,134157,108482,123049,78663,85855,76771,64402,30006,
长期借款(万元),6500,8500,8600,8800,5800,6000,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),3792,4045,3960,3815,3521,3958,3550,4081,3467,2937,2046,1380,
长期递延收益(万元),6273,6211,6312,6270,6371,6574,6662,4331,1807,1834,1861,1861,
递延所得税负债(万元),1265,978,831,481,643,389,244,129,63,66,46,--,
其他非流动负债(万元),3470,4632,4732,3970,3970,3336,--,--,--,--,--,--,
非流动负债合计(万元),21952,24366,24435,23336,20305,20257,10456,8541,5337,4837,3953,3240,
负债合计(万元),152454,154410,161282,163053,154461,128739,133505,87204,91192,81608,68355,33246,
实收资本(或股本)(万元),40856,40856,40856,36770,36770,36770,36770,15987,15000,15000,12660,12180,
资本公积(万元),66733,66600,66466,14181,14181,13925,13742,24721,13232,13203,1791,1347,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),382,382,382,382,178,--,--,--,--,--,--,--,
盈余公积(万元),8376,6134,6134,6134,6134,3729,3729,2277,1568,--,2193,1706,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),74152,75212,67680,61356,52666,39668,27371,22366,17292,7635,11881,8776,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),190669,189183,181519,118823,109929,94093,81612,65351,47091,35838,28524,24010,
少数股东权益(万元),16037,13660,12259,13519,11845,11969,9493,6317,4755,3246,2725,1198,
所有者权益(或股东权益)合计(万元),206706,202844,193778,132342,121774,106062,91105,71668,51847,39083,31249,25208,
负债和所有者权益(或股东权益)总计(万元),359160,357253,355060,295395,276235,234801,224610,158872,143039,120691,99604,58454,		
  
