报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),13046,13179,780,26060,11661,4601,12298,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),0,35,48,33,71,79,1,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),34018,57700,31988,4570,4954,3399,10399,
应收账款(万元),50541,58444,51683,50075,42877,28887,35570,
预付款项(万元),14,39,138,24,37,308,316,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),2104,2,4,26,40,48,100,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),34806,38169,38449,36736,27381,23257,24872,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),30000,30742,1161,--,561,--,5000,
流动资产合计(万元),164529,198310,124251,117524,87581,60579,88556,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),--,26141,--,25520,23849,22682,--,
累计折旧(万元),--,15112,--,14532,14154,12740,--,
固定资产净值(万元),--,11029,--,10988,9695,9942,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),11954,11029,11202,10988,9695,9942,10492,
在建工程(万元),1426,642,133,119,293,42,86,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),2437,2463,2488,2514,2618,2724,2830,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),725,773,687,662,565,385,473,
其他非流动资产(万元),--,--,--,--,--,--,--,
非流动资产合计(万元),16543,14906,14510,14284,13171,13093,13882,
资产总计(万元),181072,213217,138761,131807,100752,73672,102438,
短期借款(万元),4942,44970,43200,9400,800,3000,29480,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),193,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),--,--,--,29000,22900,13000,20000,
应付账款(万元),--,6794,8694,9900,10042,6689,4706,
预收账款(万元),282,297,598,218,1974,1264,1164,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),829,743,682,1012,900,946,1250,
应交税费(万元),1333,1119,1143,2232,1816,768,1749,
应付利息(万元),45,143,60,12,1,4,49,
应付股利(万元),--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),--,186,116,191,216,929,2295,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),15839,54252,54493,51965,38649,26599,60694,
长期借款(万元),--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
