 报告日期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),15328,72807,52484,38999,15544,72922,45131,29711,15008,71408,31057,119297,57735,86025, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,1556,1556,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),235,846,352,109,21,1691,83,61,23,21353,21234,44119,39487,15841, 
 经营活动现金流入小计(万元),15563,75209,54392,39108,15565,74613,45214,29772,15031,92761,52291,163416,97222,101866, 
 购买商品、接受劳务支付的现金(万元),9729,29495,19355,11831,5402,37927,25352,13385,7959,34327,19112,55806,33163,38503, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1351,4838,3672,2646,1553,4283,3270,2372,1386,3760,1802,4126,3778,3270, 
 支付的各项税费(万元),1924,6873,4342,3666,2053,8067,5931,4337,1782,12462,7273,12759,12025,10623, 
 支付的其他与经营活动有关的现金(万元),817,2707,3056,1345,685,2338,1451,944,574,3938,3032,31297,30287,42385, 
 经营活动现金流出小计(万元),13822,43913,30425,19489,9694,52615,36004,21038,11702,54487,31219,103988,79252,94780, 
 经营活动产生的现金流量净额(万元),1742,31296,23967,19619,5871,21998,9209,8734,3329,38275,21071,59428,17970,7086, 
 收回投资所收到的现金(万元),700,185859,102359,23909,19509,115030,79434,59700,29000,35500,4500,9900,--,13300, 
 取得投资收益所收到的现金(万元),11,1676,1069,257,181,847,562,386,212,196,4,7,--,13, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,220,100,--,--,133,58,58,58,1098,50,--,186,40, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,574,--,0,0,75,75,75,--,33,33,192,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),711,188330,103528,24167,19690,116085,80129,60219,29270,36828,4587,10100,186,13353, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1802,6874,2532,1183,522,3810,3215,2337,769,2076,461,1716,9045,2226, 
 投资所支付的现金(万元),15600,208109,151359,89059,37659,116430,84084,64650,30000,35500,4500,9900,--,13300, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),100,1000,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),17502,215983,153891,90242,38181,120240,87299,66987,30769,37576,4961,11616,9045,15526, 
 投资活动产生的现金流量净额(万元),-16791,-27653,-50363,-66075,-18491,-4155,-7170,-6768,-1499,-748,-374,-1516,-8860,-2174, 
 吸收投资收到的现金(万元),--,40640,39031,39031,39031,--,--,--,--,28400,28400,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,14640,9575,30188, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),2700,0,0,--,--,70,70,70,--,1192,912,928,892,1876, 
 筹资活动现金流入小计(万元),2700,40640,39031,39031,39031,70,70,70,0,29592,29312,15568,10467,32064, 
 偿还债务支付的现金(万元),--,--,--,--,--,1198,1198,914,457,16563,10649,20690,8650,25169, 
 分配股利、利润或偿付利息所支付的现金(万元),--,16200,16200,--,--,8028,8028,8028,--,41922,41902,35449,19509,1200, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,4309,--,--,--,70,70,70,70,460,180,880,934,2870, 
 筹资活动现金流出小计(万元),0,20509,16200,0,0,9296,9296,9012,527,58945,52730,57019,29092,29239, 
 筹资活动产生的现金流量净额(万元),2700,20131,22831,39031,39031,-9226,-9226,-8942,-527,-29353,-23418,-41451,-18626,2825, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,0,0,0,--,0,--,0,--,--, 
 现金及现金等价物净增加额(万元),-12349,23774,-3565,-7425,26411,8617,-7186,-6977,1303,8174,-2721,16460,-9516,7738, 
 加:期初现金及现金等价物余额(万元),58622,34848,34848,34848,34848,26231,26231,26231,26231,18057,18057,1597,11113,3375, 
 期末现金及现金等价物余额(万元),46273,58622,31282,27423,61259,34848,19045,19254,27534,26231,15336,18057,1597,11113, 
 净利润(万元),--,18041,--,5890,--,19542,--,--,--,18067,--,27756,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-28,--,-535,--,309,--,--,--,-918,--,-2264,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,4161,--,2059,--,3903,--,--,--,3894,--,3761,--,--, 
 无形资产摊销(万元),--,107,--,43,--,74,--,--,--,70,--,72,--,--, 
 长期待摊费用摊销(万元),--,443,--,218,--,59,--,--,--,35,--,69,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,15,--,1,--,-8,--,--,--,-52,--,81,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,-3,--,--,--,24,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,--,--,114,--,--,--,608,--,1421,--,--, 
 投资损失(万元),--,-1582,--,-243,--,-799,--,--,--,-196,--,-7,--,--, 
 递延所得税资产减少(万元),--,-22,--,14,--,187,--,--,--,328,--,192,--,--, 
 递延所得税负债增加(万元),--,248,--,129,--,147,--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-1092,--,-4024,--,2659,--,--,--,1583,--,1155,--,--, 
 经营性应收项目的减少(万元),--,5002,--,11243,--,-5673,--,--,--,23584,--,35592,--,--, 
 经营性应付项目的增加(万元),--,6110,--,5883,--,1351,--,--,--,-9114,--,-7589,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,-107,--,-1058,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,31296,--,19619,--,21998,--,--,--,38275,--,59428,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
