报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),216907,146800,95782,49444,219773,145147,95365,45646,261499,279180,320949,
营业收入(万元),216907,146800,95782,49444,219773,145147,95365,45646,261499,279180,320949,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),88844,63992,41014,21755,97725,68545,45589,21365,136403,140036,146608,
营业成本(万元),48503,32799,21288,10473,47376,33019,21996,10604,68176,75447,84023,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),14974,11734,7071,--,--,11925,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),3324,2283,1405,706,4508,2688,1794,959,4726,3730,4563,
销售费用(万元),18596,13797,8310,4036,13608,8771,5934,3058,14384,12819,11571,
管理费用(万元),19084,14424,9836,9337,38233,15952,18086,8436,51006,53830,52042,
财务费用(万元),-15686,-11147,-6970,-2851,-6750,-4609,-2819,-1608,-3997,-6003,-5890,
资产减值损失(万元),49,101,73,54,749,799,598,-86,2108,213,298,
公允价值变动收益(万元),502,--,0,--,-4118,-4118,-4118,-4118,-2498,6616,--,
投资收益(万元),202,510,488,384,3494,3412,3355,3274,14064,655,1119,
对联营企业和合营企业的投资收益(万元),527,442,420,371,159,77,26,-8,322,1070,664,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),141764,93909,63495,33082,135546,83989,54763,26567,136511,146377,175460,
营业外收入(万元),81,5,3,2,289,284,289,5,16109,15527,18652,
营业外支出(万元),112,92,28,1,169,123,125,1,64,93,102,
非流动资产处置损失(万元),--,--,--,--,--,--,21,--,--,--,75,
利润总额(万元),141733,93822,63469,33083,135666,84149,54928,26570,152556,161811,194010,
所得税费用(万元),22364,13862,9752,4709,19010,11783,7600,3603,24837,23891,28707,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),119370,79960,53717,28374,116656,72366,47328,22968,127719,137920,165303,
归属于母公司所有者的净利润(万元),117569,78471,52629,27705,114805,70992,46230,22480,126337,132665,157978,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,840,19517,16998,
少数股东损益(万元),1800,1489,1088,669,1851,1373,1098,488,1382,5255,7324,
基本每股收益,1.94,1.3,0.88,0.48,2.07,1.28,0.83,0.41,2.46,--,--,
稀释每股收益,1.94,1.3,0.88,0.48,2.07,1.28,0.83,0.41,2.46,--,--,
